course,professor,semester,section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Other
ASTR300,A Sharma,201901,0101,0,8,5,5,16,5,4,8,4,0,2,0,0,3,1
ASTR300,A Sharma,201808,0101,0,3,6,4,11,5,4,10,2,0,0,0,2,4,2
ASTR300,A Sharma,201801,0101,0,14,15,10,9,2,2,1,2,2,1,0,0,0,0
ASTR300,A Sharma,201708,0101,0,7,6,9,17,13,1,2,1,0,1,1,1,3,1
ASTR300,A Sharma,201608,0101,1,2,5,14,14,3,2,5,3,2,0,0,0,3,0
CMSC216,A.U. Shankar,202001,0108,1,0,3,0,1,0,0,0,0,0,0,0,1,0,6
CMSC216,A.U. Shankar,202001,0107,2,1,1,0,1,0,0,0,0,0,0,0,0,0,10
CMSC216,A.U. Shankar,202001,0106,1,2,2,1,1,0,0,0,0,0,0,0,2,4,24
CMSC216,A.U. Shankar,202001,0105,2,2,0,1,0,0,0,0,0,0,0,0,0,2,16
CMSC216,A.U. Shankar,202001,0104,1,1,2,1,0,0,0,0,1,0,0,0,2,4,17
CMSC216,A.U. Shankar,202001,0103,0,3,1,1,0,1,0,0,0,0,0,0,5,2,19
CMSC216,A.U. Shankar,202001,0102,1,0,1,0,2,0,0,0,0,0,0,0,2,0,11
CMSC216,A.U. Shankar,202001,0101,1,0,1,0,1,0,0,0,0,0,0,0,2,3,10
CMSC216,A.U. Shankar,201908,0302,1,2,0,0,5,0,2,6,5,0,5,0,6,3,0
CMSC216,A.U. Shankar,201908,0301,2,2,0,2,2,1,1,5,5,0,3,0,5,10,0
CMSC216,A.U. Shankar,201908,0303,0,2,1,0,3,1,0,3,3,0,3,0,3,4,0
CMSC216,A.U. Shankar,201908,0304,0,3,1,0,9,4,1,7,3,0,2,0,5,3,0
CMSC712,A.U. Shankar,201901,0101,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1
CMSC216,A.U. Shankar,201901,0104,1,0,6,3,1,3,2,5,3,0,1,0,5,0,2
CMSC216,A.U. Shankar,201901,0103,2,0,2,2,3,4,1,1,3,0,2,0,3,4,2
CMSC216,A.U. Shankar,201901,0102,2,0,4,5,4,3,4,7,4,0,2,0,2,2,2
CMSC216,A.U. Shankar,201901,0101,0,6,5,6,2,2,5,4,4,0,1,0,2,3,1
CMSC412,A.U. Shankar,201808,0102,2,2,4,2,2,2,2,1,0,0,2,0,1,1,1
CMSC412,A.U. Shankar,201808,0101,4,1,0,3,2,2,2,2,0,0,2,0,1,4,0
CMSC412,A.U. Shankar,201801,0101,1,3,2,1,3,1,1,1,1,0,1,0,1,5,0
CMSC712,A.U. Shankar,201801,0101,1,0,1,0,2,0,0,2,0,0,0,0,0,2,0
CMSC412,A.U. Shankar,201801,0102,2,1,2,4,1,1,2,0,1,0,2,0,2,5,0
CMSC216,A.U. Shankar,201708,0204,0,0,2,2,4,1,2,3,5,0,4,0,2,3,0
CMSC216,A.U. Shankar,201708,0203,1,4,0,1,7,6,4,3,0,0,2,0,2,2,0
CMSC216,A.U. Shankar,201708,0202,1,5,3,4,6,4,5,2,2,0,1,0,2,3,0
CMSC216,A.U. Shankar,201708,0201,4,4,4,1,6,1,3,2,1,0,4,0,0,2,0
CMSC414,A.U. Shankar,201701,0201,4,4,7,3,7,7,5,8,4,0,0,0,2,1,0
CMSC414,A.U. Shankar,201701,0101,4,14,8,9,14,4,4,12,4,0,3,0,2,6,1
CMSC216,A.U. Shankar,201608,0203,0,2,1,0,6,2,1,5,4,0,2,1,1,1,0
CMSC216,A.U. Shankar,201608,0202,0,4,1,2,6,0,0,3,2,0,3,0,3,3,0
CMSC216,A.U. Shankar,201608,0201,0,7,0,1,6,1,0,9,0,0,4,0,1,1,0
CMSC412,A.U. Shankar,201501,0101,1,4,0,3,8,0,3,0,1,0,0,0,1,0,1
CMSC412,A.U. Shankar,201501,0102,4,2,0,1,5,0,4,2,1,0,0,0,0,1,2
CMSC712,A.U. Shankar,201408,0101,1,4,5,0,0,0,0,0,0,0,0,0,0,0,1
CMSC414,A.U. Shankar,201408,0101,1,9,0,7,8,3,2,7,1,0,2,0,0,1,0
CMSC712,A.U. Shankar,201401,0101,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
CMSC412,A.U. Shankar,201308,0102,2,1,0,2,2,3,0,0,0,0,0,0,7,1,2
CMSC412,A.U. Shankar,201308,0101,2,1,2,0,2,0,0,0,2,0,0,0,1,3,8
CMSC712,A.U. Shankar,201301,0101,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1
CMSC414,A.U. Shankar,201301,0301,6,2,4,0,10,10,0,5,7,0,2,0,1,2,0
CMSC412,A.U. Shankar,201208,0102,0,2,2,1,3,0,0,3,2,0,0,0,0,2,0
CMSC412,A.U. Shankar,201208,0101,0,6,4,3,3,0,0,3,1,0,0,0,0,0,0
CMSC412,A.U. Shankar,201201,0101,1,5,0,3,4,0,2,2,2,0,1,0,0,1,0
CMSC412,A.U. Shankar,201201,0102,1,5,0,2,4,0,2,2,0,0,0,0,3,1,0
COMM107,Aaron Swanlek,202108,4801,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0
COMM107,Aaron Swanlek,202108,4001,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0
COMM107,Aaron Swanlek,202108,1101,11,7,0,0,0,1,0,0,0,0,0,0,0,0,0
COMM107,Aaron Swanlek,202108,0101,14,4,0,0,0,0,0,0,0,0,0,0,0,2,0
COMM107,Aaron Swanlek,202101,4201,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMM107,Aaron Swanlek,202101,3801,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMM107,Aaron Swanlek,202101,1401,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0
COMM107,Aaron Swanlek,202101,0401,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMM107,Aaron Swanlek,202008,5501,11,3,3,0,0,1,0,1,0,0,0,0,0,0,0
COMM107,Aaron Swanlek,202008,9902,14,3,1,0,1,0,0,0,0,0,0,0,0,0,0
COMM107,Aaron Swanlek,202008,4001,15,3,1,0,0,0,0,0,0,0,0,0,1,0,0
COMM107,Aaron Swanlek,202008,2201,13,2,2,2,0,0,0,0,0,0,0,0,0,0,0
COMM107,Aaron Swanlek,202008,1001,13,1,1,3,0,1,0,0,0,0,0,0,0,0,0
COMM107,Aaron Swanlek,202001,4601,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMM107,Aaron Swanlek,202001,3101,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1
COMM107,Aaron Swanlek,202001,1701,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMM107,Aaron Swanlek,201908,0101,2,11,4,1,0,1,1,0,0,0,0,0,0,1,0
COMM107,Aaron Swanlek,201908,4501,2,10,7,0,0,0,0,0,0,0,0,0,0,0,0
COMM107,Aaron Swanlek,201908,3501,8,6,2,3,0,0,0,0,0,0,0,0,0,0,0
COMM107,Aaron Swanlek,201908,2501,4,12,2,1,0,0,0,0,0,0,0,0,0,0,0
ARTH260C,Abigail McEwen,202108,0101,10,6,4,0,1,4,0,0,0,0,0,0,0,2,0
ARTH260,Abigail McEwen,202108,0104,6,7,6,1,2,1,0,0,1,0,0,1,0,0,0
ARTH260,Abigail McEwen,202108,0103,8,13,1,1,1,1,0,0,0,0,0,0,0,3,0
ARTH260,Abigail McEwen,202108,0102,9,6,4,4,0,2,0,0,0,0,0,0,0,1,0
ARTH260,Abigail McEwen,202108,0101,7,11,6,1,0,0,0,0,0,0,0,0,0,1,0
ARTH262,Abigail McEwen,202008,0101,22,0,1,1,0,0,0,0,1,0,0,0,0,1,0
ARTH260C,Abigail McEwen,202008,0101,3,14,3,2,0,1,0,0,0,0,0,0,0,0,0
ARTH260,Abigail McEwen,202008,0103,8,10,3,2,1,0,0,1,0,0,0,0,0,1,0
ARTH260,Abigail McEwen,202008,0102,6,13,3,0,0,1,0,2,0,0,0,0,0,0,0
ARTH260,Abigail McEwen,202008,0101,9,11,3,2,1,0,0,0,0,0,0,0,0,0,0
ARTH768A,Abigail McEwen,202001,0101,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2
ARTH488F,Abigail McEwen,201908,0101,3,1,0,0,0,0,0,0,0,1,0,0,5,1,1
ARTH260,Abigail McEwen,201908,0101,8,6,5,2,3,0,0,0,2,0,0,0,0,0,1
ARTH260,Abigail McEwen,201908,0102,2,8,7,3,0,2,0,1,1,0,0,0,1,0,0
ARTH260,Abigail McEwen,201908,0103,7,5,4,3,2,3,1,0,0,0,0,0,0,1,0
ARTH260,Abigail McEwen,201908,0104,3,7,5,3,2,0,0,0,0,0,0,0,0,1,1
ARTH389K,Abigail McEwen,201901,0101,6,5,0,0,0,0,1,0,0,0,0,0,4,0,0
ARTH260,Abigail McEwen,201808,0104,5,10,5,1,1,0,0,0,0,0,0,0,0,1,0
ARTH260,Abigail McEwen,201808,0103,7,10,3,1,1,0,0,1,0,0,0,0,1,0,0
ARTH260,Abigail McEwen,201808,0102,5,8,2,4,4,0,0,0,1,0,0,0,0,1,0
ARTH260,Abigail McEwen,201808,0101,4,10,3,2,3,0,0,0,1,0,0,0,0,3,0
ARTH255,Abigail McEwen,201801,0102,1,4,8,1,3,2,2,1,0,0,0,0,0,3,1
ARTH768C,Abigail McEwen,201801,0101,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0
ARTH255,Abigail McEwen,201801,0104,0,0,5,1,3,2,1,0,0,0,2,0,0,1,0
ARTH255,Abigail McEwen,201801,0103,2,8,2,1,2,4,0,0,1,0,1,0,1,3,0
ARTH255,Abigail McEwen,201801,0101,0,4,1,0,2,3,1,2,1,0,0,1,0,0,0
ARTH488B,Abigail McEwen,201708,0101,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0
ARTH372,Abigail McEwen,201708,0101,1,3,3,1,4,0,0,0,0,1,0,1,0,0,0
ARTH488M,Abigail McEwen,201601,0101,0,2,3,0,1,0,0,1,0,0,0,0,1,0,2
ARTH255,Abigail McEwen,201508,0105,1,5,1,3,3,3,1,0,0,0,0,1,0,2,0
ARTH255,Abigail McEwen,201508,0104,0,4,5,6,3,2,1,0,1,0,0,0,2,2,0
ARTH255,Abigail McEwen,201508,0102,0,7,5,2,4,0,1,2,1,1,0,0,0,1,1
ARTH255,Abigail McEwen,201508,0101,1,13,2,0,1,3,2,0,0,0,0,0,0,2,1
